tienda,ventas_totales
Snow Inc,5113.72
"Cantrell, Rivera and Thornton",5110.86
"Evans, English and Meyer",5109.450000000001
"Cobb, Hanson and Chavez",5108.67
"Anderson, Henson and Jones",5106.57
"Walsh, Abbott and James",5103.8099999999995
"Davis, Vasquez and Guerra",5103.6
"Williams, Lawson and Graham",5102.799999999999
"Chaney, Martinez and Clark",5102.79
Howard Ltd,5101.11
Ward-Atkinson,5098.92
Washington-Jones,5098.71
"Villarreal, Ryan and Savage",5098.44
Greene Ltd,5097.15
"Copeland, Miller and Davies",5095.26
Rowland-Wells,5095.17
Atkinson-Turner,5092.950000000001
Winters Ltd,5092.6
"Chase, Adams and Hanson",5092.200000000001
Frost-Lin,5092.16
Nguyen PLC,5089.99
Moon-Smith,5089.8
Stewart LLC,5089.74
"Graves, Armstrong and Hart",5089.26
"Jackson, Shah and Walker",5088.39
"Pittman, Byrd and Ramirez",5086.47
Alvarado-Byrd,5085.76
Mendoza and Sons,5085.29
Peterson Ltd,5085.1
"Morrison, Bean and Kelley",5083.35
Patel-May,5083.28
"Ramos, Anderson and Stein",5082.76
Rogers-Russell,5081.85
Evans and Sons,5081.7300000000005
Thomas-Perry,5078.97
Harvey Ltd,5078.3099999999995
"Allen, Soto and Kennedy",5078.3099999999995
Hatfield Inc,5077.59
Kelly-Olson,5076.68
"Olsen, Clay and Carter",5076.5
Gomez-Snyder,5074.72
Smith-Robinson,5074.41
Bailey-Hopkins,5073.4
Powell Inc,5073.2699999999995
Young LLC,5072.04
Huerta PLC,5071.76
Jones-Kelley,5070.9
Rogers and Sons,5068.44
Shaw-Smith,5068.32
"Herring, Wilson and Mendoza",5068.049999999999
Willis Ltd,5064.8
Thompson-James,5061.44
Barnes-Martin,5061.32
"Porter, Duncan and Welch",5060.9
Elliott-Alvarado,5060.84
Roman-Bradshaw,5060.52
"Moore, Harris and Robinson",5059.9800000000005
Vega Ltd,5059.17
"Browning, Jones and Miller",5056.56
Brooks-Watkins,5056.56
Scott Group,5056.5599999999995
Espinoza Group,5056.11
Nguyen-Vega,5055.2
Galvan LLC,5054.8
Quinn Inc,5052.18
Montes-Webster,5050.299999999999
Pena and Sons,5050.2
Pena-Quinn,5046.39
"Case, Smith and Oneill",5042.49
Wright-Wood,5040.42
Fernandez-Williams,5040.4
Rubio Group,5035.38
"Thomas, Cunningham and Meadows",5035.35
Holloway Ltd,5034.3
Cook-Turner,5034.0
Price and Sons,5033.07
Singleton-Campbell,5032.85
"Smith, Tanner and Rogers",5032.8
"Rios, Henry and Dixon",5032.75
"Wright, Nelson and Schmidt",5032.32
Moran PLC,5029.29
Walters Ltd,5028.599999999999
"Davis, Blair and Vasquez",5027.08
Schultz Group,5023.1
Warren-Bishop,5022.12
Stanley-Webb,5020.2
"Wilson, Hester and Long",5017.35
Atkinson PLC,5016.92
Harmon-Perkins,5016.03
Campos and Sons,5012.46
Ward-Garcia,5009.64
Logan LLC,5008.36
"Rodriguez, Taylor and Galvan",5007.0
Wright-Schultz,5006.88
"Chavez, Shelton and Maynard",5006.0
Mckay-Olsen,5005.88
Hart-Jones,5003.2
"Murphy, Taylor and Miller",5002.36
"Carter, Jenkins and Reyes",5001.0
"Williams, Alvarez and Soto",5000.4
Gross-Lewis,4999.12
Cook Ltd,4998.450000000001
"Lewis, Watson and Cordova",4998.08
Green Group,4996.86
Miller-Duncan,4992.96
Shaw-Barker,4989.95
"Murphy, Curry and Sanchez",4989.84
Austin-Turner,4988.04
Barron-Cox,4987.4
Wilson-Ramirez,4985.950000000001
Werner LLC,4985.2
Baker-Garcia,4984.5
Christian and Sons,4983.52
"Green, Jones and Fisher",4983.0
Moran-Johnson,4982.34
Key-Montes,4979.85
Rivera-Garcia,4976.4
"Taylor, Velasquez and Harris",4976.12
Gordon Ltd,4975.69
"Vasquez, Rogers and Jenkins",4973.2
"Espinoza, Perry and Jones",4968.15
"Davis, Norris and Barber",4966.47
Murray-Riggs,4966.35
Gibson-Thomas,4965.7
Peterson-Odom,4965.4
Shaffer PLC,4963.62
Good Ltd,4963.44
Perez LLC,4962.7
Dougherty-Welch,4962.65
Vaughn-Fowler,4962.64
Saunders Group,4961.36
Sheppard-Mueller,4961.13
"Wood, Richardson and Vance",4960.799999999999
"Salazar, Heath and Harris",4958.36
"Horton, Cooke and Hoover",4957.75
Campos Inc,4957.5599999999995
Smith-Hamilton,4956.08
Barton PLC,4955.64
Tanner Ltd,4955.639999999999
Roman-Osborn,4954.049999999999
Bowman-Parrish,4952.0
Dawson-Pierce,4951.1
Bruce-Villegas,4950.21
"Bowen, Rodriguez and Williams",4948.48
"Wolfe, Gill and Clark",4948.08
Carlson-Ferguson,4942.88
Gonzalez-Ellis,4942.86
Cruz LLC,4941.76
Thomas Ltd,4940.17
Bowers Inc,4937.46
Castro-Frederick,4937.08
Webb-Ballard,4935.2
Freeman-Henderson,4933.14
"Young, Hamilton and Peters",4931.68
Johnson-Guzman,4928.549999999999
"Santana, Johnson and Ochoa",4928.2
"Mcgee, Mcintyre and Owens",4927.900000000001
"Mcknight, Michael and Jones",4927.71
Hodges Ltd,4927.0
"Bentley, Little and Gilmore",4926.99
Jordan-Castro,4925.37
Torres-Roberts,4923.8
Tapia-Curtis,4923.3
Maynard-Wagner,4922.13
Fuentes Inc,4922.0
Flynn-Thompson,4921.53
"Elliott, Villarreal and Sosa",4920.4800000000005
Clark PLC,4919.209999999999
"Johnson, Dunlap and Martin",4919.01
Fitzpatrick PLC,4913.01
"Perry, Kennedy and Cox",4912.7699999999995
"Haynes, Barnes and Roach",4910.37
Sanchez-Mcfarland,4910.299999999999
Myers-Simon,4910.25
"Day, Weaver and Evans",4908.16
Parker-Brown,4907.36
Alexander-Stevens,4907.08
Parker and Sons,4906.73
Allen PLC,4904.07
"Wilson, Brown and Smith",4902.18
"Bell, Barry and Hopkins",4901.92
"Henry, Jackson and Norton",4900.44
Marshall Ltd,4899.57
"Scott, Becker and Arias",4899.049999999999
Douglas-Burgess,4894.17
Ashley-Johnston,4893.6900000000005
"Nicholson, Hickman and Evans",4891.5
"Pratt, Freeman and Curry",4890.84
Miller-Williams,4890.56
"Hester, Jacobson and West",4889.3
Garza-Shea,4888.72
Evans-Mann,4887.87
Miller-Snyder,4884.96
Haney and Sons,4884.84
"Lopez, Duran and Miller",4883.08
Garcia and Sons,4882.13
Pope-Smith,4880.32
"Li, Wright and Jones",4880.0
James-Robinson,4878.32
Benson Group,4877.719999999999
"Smith, Harrison and Allen",4875.8099999999995
"Salinas, Walker and Erickson",4874.1
Moreno-Harvey,4872.33
"Russell, Lopez and Cooper",4872.299999999999
"Lee, Charles and Parker",4872.15
"Brown, Jones and Johnson",4871.76
"Dillon, Martin and Cantu",4870.92
"Cruz, Cannon and Arias",4870.400000000001
Cobb-Ward,4867.95
Alvarado-Cross,4866.72
"Weaver, Garcia and Reed",4863.36
Berger-Bruce,4863.2
Moreno Inc,4860.82
"Marsh, Spears and Yang",4860.64
Hartman-Parsons,4858.38
Barker-Mack,4856.45
"Bishop, Bell and Williams",4855.12
Vincent Ltd,4853.85
Hanson-Rivera,4853.25
Matthews Ltd,4852.91
"Sellers, George and Burns",4852.0
Hopkins-Wallace,4851.57
Walters and Sons,4850.92
Bean-White,4849.2300000000005
"Johnson, Salinas and Collins",4848.4
Koch-Decker,4847.92
"Coleman, Clark and Rowe",4847.4
"Gomez, Jimenez and Reese",4846.04
"Stevens, Green and Boone",4843.14
"Mendoza, Newton and Mahoney",4843.12
Allen and Sons,4842.219999999999
"Brown, Ward and Black",4838.43
Schneider Group,4834.1
"Solomon, Mendoza and Avery",4833.24
Cortez LLC,4833.2
Baker-Wilson,4832.76
"Curtis, Lozano and Barber",4831.53
Mcdowell PLC,4829.88
Rodriguez-Vance,4828.29
Smith-Lang,4827.299999999999
"Morales, Gonzales and Barrera",4826.6
"Camacho, Wallace and Garner",4824.52
Beltran-Jenkins,4824.18
Byrd LLC,4823.1
"Keith, Johns and Jones",4821.45
"Thompson, Thomas and Roy",4820.25
Cook-Hines,4817.3099999999995
"Moreno, Garcia and Dominguez",4815.9
Mclean Inc,4811.97
Young PLC,4809.51
Jackson-Webster,4808.48
"Lane, Lopez and Miller",4804.64
"Nguyen, Hale and Robinson",4804.049999999999
"Anderson, Lawson and Villarreal",4803.9
"Clements, Gentry and Wilkins",4799.6
Harvey Inc,4799.1
Mooney-Hickman,4792.55
Dawson Group,4792.099999999999
"Anderson, Gonzalez and Pham",4789.799999999999
"Freeman, Cox and Mitchell",4786.950000000001
"Gordon, Payne and Ponce",4786.549999999999
Murray-Webb,4782.6900000000005
"Hill, Davenport and Baird",4782.5
Baker Inc,4781.860000000001
Murphy-Morris,4781.49
Martinez-Flores,4780.400000000001
Rodriguez-Pearson,4779.96
"Todd, Caldwell and Ramos",4778.43
Hammond PLC,4776.650000000001
Ford-Martinez,4776.16
"Thomas, Quinn and Horton",4775.55
Johnson-Thomas,4772.64
"Wilcox, Matthews and Walters",4771.44
Fisher Inc,4771.05
Montgomery-Hopkins,4770.66
Harrington PLC,4770.18
Mckenzie-Cole,4768.04
"Gonzalez, Maynard and Morris",4766.97
"Lewis, Gregory and Johnson",4765.5599999999995
"Clements, Molina and Holt",4764.36
"Adams, Price and Young",4763.64
Webb-Frank,4761.9
Stewart-Bailey,4761.45
"Pena, Perez and Johnson",4760.32
Lutz and Sons,4759.04
"Anderson, Lopez and Brown",4758.24
"Barnes, Olson and Mcbride",4755.57
Marshall-Miller,4753.32
"Wright, Sutton and Singleton",4752.88
"Peterson, Mann and Harris",4748.08
King-George,4748.0
"Hamilton, Ramsey and Crawford",4746.96
Fowler Group,4746.16
Strickland Inc,4745.88
Ochoa LLC,4745.16
Montes-Malone,4745.01
Snyder-Singh,4744.200000000001
Thomas Group,4743.1
Brown-Hicks,4742.01
Kaiser Ltd,4740.0599999999995
Ramirez-Santana,4738.8
Cruz-Green,4737.35
Dougherty LLC,4737.0
"Tran, Stanley and Sullivan",4736.76
Lopez-Thomas,4733.13
"Baker, Sanchez and Bird",4732.38
"Lewis, Williams and Moore",4729.76
"Coleman, Fowler and Shepard",4729.11
"Thomas, Atkins and Pena",4723.74
"Davies, Ochoa and Singleton",4721.79
Nelson-Ochoa,4720.72
Tucker-Anderson,4720.7
"Martinez, Nguyen and Reeves",4720.5
West-Mclean,4719.9
Austin-Thompson,4718.61
"Hicks, Frazier and Anthony",4718.3
"Berry, Welch and Lewis",4715.55
Trevino PLC,4710.0
Newman-Fox,4709.97
"Gillespie, Reid and Watkins",4707.52
"Archer, Jones and Dyer",4707.0
Smith-Li,4704.299999999999
"Russell, Smith and Montes",4703.5199999999995
Ramos-Wallace,4697.91
"Smith, Scott and Wood",4693.29
"Williams, Moore and Kerr",4689.87
"Robinson, Phillips and Frazier",4689.8
Smith-Marks,4682.08
Horn Ltd,4681.28
Edwards-Taylor,4679.9
"Ellis, Love and Werner",4679.68
"Jennings, Evans and Graham",4677.25
"Brown, Payne and Love",4677.08
"Simmons, Phelps and Patterson",4674.4
"Owen, Shelton and Cisneros",4673.75
"Dawson, Haynes and Cervantes",4669.68
"Blake, Bradford and Mcmillan",4669.200000000001
"Webster, Burns and Nolan",4669.16
Foster LLC,4667.25
Jones-Gutierrez,4666.28
Lee-Jones,4662.54
"Michael, Peterson and Martin",4662.450000000001
Fleming-Oliver,4662.28
"Vega, Carter and Chung",4659.65
"Clay, Hudson and Sparks",4658.85
"Harper, Campbell and Zamora",4656.66
Boyd PLC,4653.88
Hall Group,4652.87
"May, Wise and Atkinson",4649.3099999999995
"Cannon, Anderson and Alvarez",4646.3099999999995
Hammond-Smith,4644.33
"Hines, Arnold and Bradford",4642.799999999999
Deleon-Stuart,4641.9
Calhoun and Sons,4640.92
Stevens-Hood,4640.8
"Hardy, White and Griffin",4640.6
Crane-Clark,4639.95
"Mathis, Gonzalez and Holmes",4639.64
"Barnes, Estes and Barrera",4638.99
"Ward, Williams and Higgins",4638.0
"Pierce, Montoya and Walker",4637.08
"Hill, Martinez and Rhodes",4634.9
Alvarez-Padilla,4632.96
Lopez Ltd,4632.38
Scott-Smith,4630.849999999999
Sanchez-Lamb,4630.64
"White, Ramos and Davidson",4629.39
Watkins Inc,4626.78
"Waller, Garcia and Rose",4626.39
Day-Miller,4625.79
Freeman LLC,4621.0599999999995
Orr-Klein,4620.24
"Peterson, Smith and Romero",4620.0
Johnson-Mendez,4618.5599999999995
Cherry-Tran,4617.6
Miller-Soto,4616.28
Leblanc Inc,4613.0
Werner-Arnold,4611.08
Mitchell-Andrews,4609.56
Kennedy Ltd,4605.64
Daniel PLC,4605.42
Pace PLC,4602.56
Cannon-Mitchell,4601.9
Robinson-Jenkins,4598.85
Weeks-Massey,4598.549999999999
"Lowe, Rowe and Blanchard",4598.46
Thomas-Stevens,4597.16
"Evans, Walker and Dillon",4596.78
Moore-Greer,4596.650000000001
Hall-Owen,4593.51
"Case, Adams and Olson",4591.84
Welch-Brown,4591.5
Berg-Miller,4589.3099999999995
Ray Inc,4586.64
"Ruiz, Lowe and Smith",4586.5199999999995
Young and Sons,4584.0
Davis-Huynh,4579.92
Pineda-Lucero,4578.0599999999995
"Lewis, Jenkins and Jackson",4577.43
Erickson-Pearson,4575.4800000000005
"Davis, Anderson and Wilkins",4573.65
Shannon Inc,4572.63
"Taylor, Taylor and Soto",4569.78
"Young, Ibarra and Reeves",4567.48
Chase-Thomas,4564.7699999999995
Patterson Ltd,4564.55
Thomas-Browning,4562.900000000001
Jones-Bowman,4562.4
Lloyd and Sons,4561.9
"Miller, Jefferson and Davis",4559.76
Hunter-Fuller,4559.49
Mack-Wilkerson,4557.28
"Allen, Mccullough and Perry",4554.8
Lawrence-Flores,4553.1900000000005
"Coleman, Vega and Richmond",4552.56
Mclaughlin-Miller,4552.29
"Phillips, Nichols and Diaz",4551.64
Rangel-Rodriguez,4548.05
"Graves, Johnson and Ross",4547.76
"Bailey, Joyce and Young",4547.48
Tran-Winters,4546.8
Clark Inc,4546.63
Williams-Jackson,4545.87
"Willis, Kidd and Gomez",4545.849999999999
Robinson-Smith,4545.64
"Mccarthy, Ortega and Thompson",4545.63
"Carter, Williams and Harrison",4544.85
Riggs-Welch,4542.78
Riddle-Sims,4539.9
"Patterson, Ayers and Myers",4537.14
Goodman LLC,4536.93
"Jackson, Nguyen and Gonzalez",4535.9400000000005
"Williams, Martinez and Taylor",4535.64
Arnold-Wilson,4534.28
Charles Group,4533.18
Garner-Campos,4531.96
Delacruz-Hall,4530.35
Hernandez-Dawson,4529.9
Martinez-Smith,4527.15
"Harper, Frye and Hernandez",4526.88
Webster Group,4521.8099999999995
"Kidd, Huff and Novak",4521.5
Chavez LLC,4520.88
Foley Inc,4518.15
Lin-Mcdonald,4518.08
Herrera LLC,4518.08
Richard-Wu,4517.4
Lee-Cooke,4517.37
"Hester, Sanders and Hall",4509.4800000000005
Crawford Inc,4506.0
Perkins-Cunningham,4505.88
"Garcia, Henderson and Hernandez",4505.05
"Brock, Jordan and Ortega",4502.75
White-Ramsey,4501.6
Christensen-Rice,4493.15
Sharp-Ford,4492.4
Jenkins-Thomas,4491.9
Blair-Molina,4491.0
"Becker, Thompson and Taylor",4490.22
Wilson-Farrell,4488.72
"Moore, Lee and Baldwin",4487.37
"Griffith, Miller and Simmons",4487.07
"Snow, Baird and Knight",4484.32
Hendricks-Garcia,4483.11
"Greene, Beasley and Barber",4481.84
"Gonzalez, Moss and Smith",4477.32
Reyes-Washington,4476.99
"Kennedy, Wong and Craig",4476.99
"Harris, Burton and Beard",4475.45
Davis-Sanchez,4474.65
Torres LLC,4474.47
"Gonzalez, Simon and Keith",4471.2
Briggs-Wilson,4470.9
Espinoza-Byrd,4470.04
"Pennington, Smith and Ingram",4465.799999999999
Watts PLC,4463.76
Castro-Henry,4463.16
Mclaughlin Ltd,4461.99
Carr-Huffman,4461.56
Mccoy-Brown,4461.04
"Dean, Mills and Barnes",4460.5
Hudson-Bates,4460.46
Clark-Douglas,4458.54
Patel LLC,4455.75
Reyes and Sons,4453.639999999999
Harmon-Baxter,4449.6
Kelly PLC,4447.42
Hinton-Lane,4447.24
Wilcox-Snyder,4445.46
Meyers-Garner,4445.37
"Wade, Richards and Smith",4443.450000000001
Jimenez Ltd,4442.700000000001
"Davenport, Warren and Randall",4440.66
Haley-Hart,4439.55
"Robinson, Mcguire and Jensen",4437.6900000000005
Camacho-Cross,4436.91
"Moore, Olson and Jones",4436.04
"Mathews, Wright and Jensen",4435.8
Johnson-Reyes,4434.35
Romero-Briggs,4434.08
Kim-Hull,4431.75
Martinez-Ramos,4429.4
Thomas-Mccarty,4423.36
"Jackson, Lucero and Gould",4420.68
Perez-Harmon,4419.76
White-Carter,4418.34
Townsend Ltd,4415.97
Booker Ltd,4415.61
"Davis, Adkins and Freeman",4414.9800000000005
"Ortiz, Hill and Lopez",4414.88
Walter Ltd,4414.2300000000005
"Johnson, Woodward and Stevenson",4412.76
"Arias, Knox and Reed",4412.700000000001
Ramsey-Pittman,4411.9800000000005
"Welch, Lambert and Sanchez",4411.56
"Perez, Cameron and Cannon",4411.5
Kirby-Oconnor,4406.45
Thomas-Reilly,4404.2
Burns Inc,4403.85
"Lewis, Valdez and Williams",4403.64
Rios-English,4402.56
"Dyer, Allen and Garcia",4402.32
Bridges PLC,4399.3
Rodriguez-Harmon,4397.85
Pham Ltd,4393.56
Sandoval-Douglas,4392.76
"White, Patton and Bass",4392.0
Mitchell Group,4391.1900000000005
Green-Cardenas,4390.72
Lewis PLC,4387.2
Brown-Bass,4386.85
Cohen PLC,4385.85
Rivera-Ingram,4384.32
Bonilla PLC,4383.84
Reynolds-Taylor,4379.12
"Mcgee, Stewart and Chavez",4377.28
Ray Group,4373.67
"Sanchez, Braun and Chase",4372.29
"Smith, Cisneros and Olson",4371.35
"Wilson, Roman and Odonnell",4371.3
Cooper-Jimenez,4368.2
Knox-Powers,4368.08
Johnson-Scott,4363.64
"Hernandez, Wright and Lane",4360.950000000001
Ryan-Owen,4360.89
"Adams, Olson and Barrett",4357.47
Zavala Ltd,4356.04
"Byrd, Mendez and Becker",4355.4
"Hendricks, Zuniga and Miller",4354.8
"Garrison, Scott and Stevens",4354.2
Clark Group,4353.76
Young-Hendricks,4353.4800000000005
"Curtis, Mcdaniel and Martin",4351.24
Hansen LLC,4349.07
Smith-Harrison,4348.72
Stevens LLC,4346.54
Beasley Inc,4344.96
Tran-Beck,4343.32
Griffin Ltd,4343.3
"Riley, Huynh and Davis",4342.4400000000005
Morales-Levy,4341.12
Jackson-Sullivan,4340.16
Miller-Mitchell,4338.599999999999
Reynolds Inc,4338.25
"King, Wyatt and Henderson",4337.55
Sparks and Sons,4337.49
Moore-Haynes,4337.45
Cooper-Chambers,4335.93
"Medina, Sanders and Dominguez",4335.299999999999
Kelly-Ryan,4333.52
Stevens-Sanchez,4329.8
Thompson LLC,4327.96
Orr-King,4326.32
Herrera Ltd,4325.76
Payne Inc,4325.35
Hawkins and Sons,4325.2
Weber-Camacho,4323.2699999999995
Thompson-Davis,4321.5
Romero Group,4319.91
"Morton, Peterson and Hull",4319.0
Cook-Bailey,4318.85
Parker LLC,4316.0
Edwards LLC,4315.86
"Reynolds, Perry and Simpson",4315.32
"Olsen, Yang and Flores",4315.29
Cook-Long,4314.66
Mooney-Todd,4314.09
Huff LLC,4313.93
Wilson PLC,4313.0
Torres Inc,4310.9
"Hall, Taylor and Buchanan",4310.34
Hall-Robinson,4308.8099999999995
"Rasmussen, Shannon and Mccall",4305.6
Carroll-Mclaughlin,4302.68
"Estrada, Williams and Foster",4302.4
"Taylor, Chung and Leon",4298.95
Ford-Anderson,4298.05
Crane-Washington,4296.12
Sims Inc,4295.91
David and Sons,4292.48
"Davis, Weber and Le",4291.650000000001
"Coleman, Neal and Herrera",4291.5
"Vargas, Morris and Sanchez",4290.8
"Meyers, Grant and King",4290.18
Rojas-Wilkins,4289.599999999999
Erickson-Lawrence,4287.4800000000005
Cuevas-Diaz,4287.200000000001
"Cole, Montgomery and Johnson",4284.84
Jackson-Cooper,4278.95
"Walters, Garcia and Robertson",4278.75
Santos Group,4278.24
"Henderson, Edwards and Sexton",4277.4
Morales-Williams,4275.8099999999995
"Sanchez, Alvarado and Price",4275.63
"Rivera, Hendricks and Flynn",4274.25
Rodriguez-Valentine,4273.6
King-Gilbert,4273.4
Wright PLC,4270.58
Cantu-Williams,4270.56
Johnson-White,4270.2300000000005
Harris-Collins,4270.15
"Perez, Allen and Hernandez",4265.1
Wilcox-Grant,4262.8
"Dawson, Moyer and Whitaker",4261.08
"Powell, Eaton and Garcia",4260.15
Hughes and Sons,4257.5
Sweeney-Wolfe,4256.76
"Wilson, Roberts and Lee",4255.65
Silva-Fields,4253.72
Andrews-Carter,4252.0199999999995
Orozco-Wilson,4251.52
"Fry, Hopkins and Faulkner",4249.950000000001
Davenport-Baker,4249.2300000000005
"Lawson, Hall and Hill",4248.66
Buchanan and Sons,4247.92
Brewer Inc,4244.1900000000005
Johnson-Wood,4243.4400000000005
Johnson-Vasquez,4242.75
White-Richards,4241.88
Collins LLC,4240.969999999999
"Walker, Gonzalez and Blanchard",4240.400000000001
Underwood Group,4239.2699999999995
Shepherd-Hopkins,4235.8
Hughes-Day,4233.95
"Monroe, Parker and Myers",4232.76
Thompson-Gibson,4232.25
"Gregory, Nguyen and Daugherty",4229.8
Sandoval PLC,4228.59
Waters Group,4227.44
Warner and Sons,4227.34
Strong and Sons,4225.34
"Combs, Yates and Wilson",4224.4
"Perry, Mullen and Martin",4223.549999999999
Dorsey Inc,4221.75
"Hopkins, Montgomery and Mccullough",4221.05
Jenkins-Gill,4220.0
Moore-Rogers,4211.67
Velez-Williams,4209.3
"Bautista, Frost and Barnes",4208.349999999999
Stark-Roberts,4206.9
White-Blanchard,4205.13
"Flores, Mckenzie and Duncan",4203.32
Anderson-Cohen,4200.6900000000005
Reed-Smith,4199.72
Myers-Mayo,4199.49
"Fitzgerald, Evans and Norris",4198.72
"Hodges, Robinson and Diaz",4198.68
Williams-Shields,4198.59
Daniels and Sons,4192.06
"English, Taylor and Williams",4191.32
"Bailey, Wilson and Eaton",4190.44
"Wiggins, Cook and Small",4189.9800000000005
"Jones, Hale and Blair",4188.21
"Williams, Hunt and Boyer",4186.72
"Thompson, Acevedo and Thomas",4185.96
Silva-Flores,4185.6
"Payne, White and Preston",4185.12
Collier-Jenkins,4185.0
Velasquez Inc,4184.08
"Warner, Valenzuela and Perkins",4183.41
Sandoval LLC,4183.08
Rodriguez Group,4181.79
"Smith, Carter and Stanley",4181.46
Jenkins-Brown,4177.32
Nelson Ltd,4172.8
"Griffith, Anthony and Brooks",4172.12
"Sosa, Bender and Jensen",4172.04
Blankenship-Turner,4171.200000000001
Moran-Romero,4169.549999999999
"Willis, Shepherd and Olson",4166.82
"Kaiser, Hampton and Hendricks",4164.65
Hinton Group,4163.25
Ibarra Ltd,4162.0
Alexander-Roman,4161.78
"Medina, Nguyen and Johnson",4160.16
Osborne and Sons,4157.16
Cisneros LLC,4156.17
Gilmore-Lucas,4155.72
"Jordan, Smith and Lewis",4155.65
"Williams, Johnson and Wright",4155.56
"Walker, Johnson and Mcbride",4154.28
"Dixon, Vazquez and Thomas",4151.34
Vargas-Tran,4150.200000000001
Newton-Boone,4149.51
"Martinez, David and Vega",4144.41
Robinson Inc,4139.76
Black Group,4135.16
Rogers-Lee,4134.65
"Gray, Rodgers and Sanchez",4134.6
Hicks-Cooper,4134.0
"Richardson, Andrade and Vazquez",4133.9
Castillo Ltd,4132.34
Hopkins-Patton,4131.24
"Rodriguez, Mendoza and Williams",4129.35
King-Rangel,4126.2
"Chapman, Lee and Rogers",4125.54
Pope LLC,4123.450000000001
"Larson, Simmons and Lopez",4123.4
"Walter, Andrews and Garner",4122.9
Medina-Spencer,4120.68
Manning and Sons,4119.87
Thompson-Jones,4118.65
Thompson-Landry,4116.08
Vasquez-Thompson,4115.700000000001
Hall-Schneider,4115.13
Paul-Chapman,4114.599999999999
Dunn and Sons,4113.76
Jackson-Neal,4112.13
"Osborne, Benton and Chase",4111.68
Kelley Inc,4111.5
Sullivan-Williams,4106.35
"Vang, Gallagher and Hernandez",4104.35
Miles and Sons,4103.82
Reed-Mcclure,4102.59
Farmer-Klein,4099.38
"White, Mayer and Mathews",4098.68
Murphy-Lopez,4097.64
"Bishop, Barrera and Guerrero",4096.8
Alexander-Owens,4095.16
"White, May and Gomez",4091.24
Mccormick and Sons,4091.13
"Wilson, Wilson and Rodriguez",4081.83
Monroe Group,4079.37
Martin-Jones,4076.85
Nelson-King,4076.07
Pope PLC,4075.0
"Smith, Le and Ramsey",4074.8500000000004
Bolton and Sons,4073.6499999999996
Floyd-Phillips,4071.56
Valenzuela Ltd,4071.2
Huffman-Arellano,4068.48
Frost Group,4063.8
"Campbell, Brewer and Baker",4062.8500000000004
Sanchez-Hardy,4056.48
"Moore, Smith and Boyd",4053.99
Barton-Harrison,4051.83
Hensley PLC,4050.2999999999997
"Barnes, Perez and Lara",4050.2699999999995
Jones-Hill,4047.6000000000004
Everett-Woods,4047.4
"Avila, Weber and Williams",4047.2
Moon Inc,4046.56
Foley-Rice,4043.5499999999997
"Brown, Duncan and Krause",4040.88
Mendez-Martinez,4039.32
Bradley Group,4035.0
"Sanders, Miller and Murphy",4034.16
Turner Ltd,4033.8199999999997
"Rodriguez, Dennis and Schmidt",4033.32
Ellis-Glenn,4031.88
Mccoy Inc,4031.88
"Martinez, Hall and Ellison",4031.6000000000004
Johnson-Galvan,4031.12
Wyatt-Harrison,4030.9500000000003
"Reid, Johnson and Lynch",4029.99
"Abbott, Hicks and Buck",4029.7799999999997
"Carter, Lewis and Terry",4029.3
Nielsen-Mendoza,4027.2000000000003
Lee-Patterson,4026.28
Choi-Clay,4024.36
"Marquez, Velasquez and Brown",4023.72
"Moore, Daniels and Powell",4021.65
Jimenez-Hartman,4021.1400000000003
Ramos LLC,4019.08
Williams-Ramirez,4018.8900000000003
"Sanchez, Ford and Nelson",4018.38
Rogers-Gonzalez,4017.4
Jenkins Ltd,4016.41
Hines-Burns,4016.37
Walker-Simpson,4015.38
Roberson PLC,4015.29
Kelly-Nunez,4014.51
Peters-Joseph,4014.4
Santiago Ltd,4012.08
"Willis, Michael and Ferguson",4011.8
Simon and Sons,4009.5
Hendricks and Sons,4006.45
Day and Sons,4005.65
"Hoover, Carroll and Williams",4002.0499999999997
Sheppard-Morrison,4001.12
Woods Group,3999.6499999999996
"Powers, Diaz and Diaz",3999.04
"Wang, Orozco and Moore",3998.7000000000003
"Goodwin, Gray and Scott",3997.9500000000003
"Marks, Costa and Lopez",3996.84
"Sheppard, Hays and Valentine",3996.64
Bridges-Jacobs,3996.12
Castro-Brady,3995.6099999999997
Hahn LLC,3994.46
Simon Group,3993.52
Conrad-Clay,3993.18
Miles-Hurley,3993.08
Cooper-Alexander,3992.79
Welch Ltd,3992.54
"Osborne, Carter and Keith",3992.5
"Sims, Eaton and Robertson",3991.42
"Frederick, Jimenez and Ellis",3991.25
Jones-Alvarado,3991.17
"Ortiz, Mccormick and Smith",3990.98
"Gill, Hunt and Campbell",3990.56
Cordova-Holmes,3990.08
"Edwards, Garcia and Romero",3989.95
Evans-Cannon,3989.34
"Heath, Gordon and Barnes",3988.92
"Hunter, Knapp and Delgado",3988.6499999999996
"James, Kerr and Evans",3988.0
"Espinoza, Snyder and Stark",3987.32
Hudson and Sons,3984.6
Mcbride LLC,3984.4
"Ray, Craig and Park",3984.09
Holt and Sons,3983.2
"Smith, Garcia and Green",3982.68
"Jordan, Potts and Powell",3980.82
"Robinson, Green and Knox",3980.72
Gordon-Cruz,3979.3500000000004
Bell-Esparza,3978.5
Rodriguez-Owens,3977.6
Martin-Freeman,3977.01
